epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,123.559,1.63303,0.89357,1.12435,1,0.81862,0.99333,0.49817,1.78292,1.44567,0.98407,0.00106803,0.00106803,0.00106803
94,124.98,1.68928,0.78421,1.0211,1,0.81862,0.99333,0.49817,1.78292,1.44567,0.98407,0.00107452,0.00107452,0.00107452
95,126.437,1.64916,0.8482,1.00913,1,0.81862,0.99333,0.49817,1.78292,1.44567,0.98407,0.0010809,0.0010809,0.0010809
96,128.567,1.61424,0.75781,1.01154,0.99903,0.84795,0.99476,0.53879,1.66183,1.39008,0.9591,0.00108718,0.00108718,0.00108718
97,129.861,1.75299,0.78939,0.97613,0.99903,0.84795,0.99476,0.53879,1.66183,1.39008,0.9591,0.00109334,0.00109334,0.00109334
98,131.403,1.62759,0.76752,0.95519,0.99903,0.84795,0.99476,0.53879,1.66183,1.39008,0.9591,0.00109939,0.00109939,0.00109939
99,133.114,1.81703,0.77919,0.94171,0.99903,0.84795,0.99476,0.53879,1.66183,1.39008,0.9591,0.00110533,0.00110533,0.00110533
100,134.878,1.59739,0.74068,0.95011,0.99971,0.90055,0.99476,0.52106,1.68008,1.39397,0.95693,0.00111117,0.00111117,0.00111117
101,136.319,1.71305,0.81959,0.94656,0.99971,0.90055,0.99476,0.52106,1.68008,1.39397,0.95693,0.00111689,0.00111689,0.00111689
102,138.107,1.77664,0.90602,0.9631,0.99971,0.90055,0.99476,0.52106,1.68008,1.39397,0.95693,0.00111139,0.00111139,0.00111139
103,139.913,1.6425,0.81163,0.99521,0.99971,0.90055,0.99476,0.52106,1.68008,1.39397,0.95693,0.00110589,0.00110589,0.00110589
104,141.782,1.64762,0.77028,0.93236,0.99964,0.93962,0.995,0.51796,1.70231,1.38318,0.95763,0.00110039,0.00110039,0.00110039
105,143.401,1.69071,0.78901,0.93653,0.99964,0.93962,0.995,0.51796,1.70231,1.38318,0.95763,0.00109489,0.00109489,0.00109489
106,144.685,1.63929,0.78731,1.0479,0.99964,0.93962,0.995,0.51796,1.70231,1.38318,0.95763,0.00108938,0.00108938,0.00108938
107,146.448,1.66963,0.80498,0.95075,0.99964,0.93962,0.995,0.51796,1.70231,1.38318,0.95763,0.00108388,0.00108388,0.00108388
108,148.874,1.70943,0.73891,0.98626,0.987,0.99341,0.99354,0.51788,1.73397,1.25106,0.96618,0.00107838,0.00107838,0.00107838
109,150.415,1.64278,0.75689,1.00235,0.987,0.99341,0.99354,0.51788,1.73397,1.25106,0.96618,0.00107288,0.00107288,0.00107288
110,151.773,1.54619,0.71786,0.95424,0.987,0.99341,0.99354,0.51788,1.73397,1.25106,0.96618,0.00106738,0.00106738,0.00106738
